epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,843.063,1.28298,0.42726,0.01291,0.89935,0.93513,0.96223,0.60234,1.40034,0.49082,0.01397,0.00139364,0.00139364,0.00139364
58,857.46,1.30878,0.43387,0.01328,0.97462,0.89305,0.94586,0.60682,1.29881,0.52976,0.01268,0.00137444,0.00137444,0.00137444
59,871.718,1.31021,0.459,0.01293,0.96293,0.90624,0.96674,0.61211,1.32493,0.43826,0.01293,0.00135509,0.00135509,0.00135509
60,885.779,1.25509,0.41951,0.01243,0.97492,0.90394,0.9549,0.61184,1.26154,0.49234,0.01201,0.00133558,0.00133558,0.00133558
61,899.442,1.29652,0.43072,0.01307,0.94105,0.92812,0.96407,0.61052,1.27768,0.45935,0.01257,0.00131593,0.00131593,0.00131593
62,913.353,1.25813,0.42302,0.01286,0.90166,0.95952,0.98073,0.61418,1.2541,0.4359,0.01216,0.00129614,0.00129614,0.00129614
63,926.999,1.25111,0.40538,0.01231,0.96648,0.88372,0.95817,0.59418,1.36259,0.50468,0.01324,0.00127623,0.00127623,0.00127623
64,940.758,1.24941,0.40405,0.01218,0.95158,0.93023,0.96956,0.62249,1.28927,0.4584,0.01252,0.0012562,0.0012562,0.0012562
65,955.035,1.23068,0.4254,0.01231,0.90871,0.92603,0.96807,0.6113,1.25562,0.45243,0.01227,0.00123607,0.00123607,0.00123607
66,969.515,1.26104,0.41281,0.01226,0.9565,0.94186,0.97888,0.6067,1.30202,0.39043,0.01279,0.00121583,0.00121583,0.00121583
67,983.954,1.23706,0.4135,0.01244,1,0.93928,0.97016,0.63238,1.25328,0.482,0.01209,0.00119551,0.00119551,0.00119551
68,998.635,1.26223,0.39629,0.01237,0.94902,0.95349,0.97714,0.64756,1.2106,0.37096,0.01181,0.0011751,0.0011751,0.0011751
69,1013.5,1.20831,0.39128,0.01202,0.96416,0.93835,0.96717,0.64633,1.18588,0.38622,0.01137,0.00115462,0.00115462,0.00115462
70,1027.95,1.22277,0.39075,0.01224,0.97647,0.96492,0.98003,0.63995,1.28916,0.37098,0.0125,0.00113408,0.00113408,0.00113408
71,1042.32,1.22086,0.38763,0.01249,0.94316,0.96468,0.97004,0.61894,1.31608,0.37769,0.01283,0.00111348,0.00111348,0.00111348
72,1056.9,1.22446,0.38177,0.01215,0.976,0.9458,0.97177,0.62945,1.24709,0.40762,0.01249,0.00109284,0.00109284,0.00109284
73,1071.4,1.21178,0.38665,0.01181,0.98775,0.93777,0.98039,0.63857,1.3141,0.37082,0.01285,0.00107216,0.00107216,0.00107216
74,1085.77,1.21363,0.36281,0.01229,0.94954,0.95349,0.97439,0.65494,1.23258,0.36798,0.01185,0.00105146,0.00105146,0.00105146
75,1100.78,1.1815,0.37763,0.01174,0.94346,0.97016,0.9847,0.63919,1.26686,0.39202,0.0122,0.00103073,0.00103073,0.00103073
76,1115.5,1.18304,0.36894,0.01187,0.96415,0.93825,0.96985,0.6133,1.27371,0.39674,0.01229,0.00101,0.00101,0.00101
77,1129.76,1.20015,0.36304,0.01163,0.97174,0.9186,0.97765,0.6398,1.24484,0.36281,0.01207,0.000989267,0.000989267,0.000989267
78,1143.13,1.15582,0.35789,0.01125,0.98764,0.92951,0.98793,0.6346,1.28461,0.38192,0.01241,0.000968543,0.000968543,0.000968543
79,1156.95,1.16184,0.36251,0.01125,0.91267,0.97222,0.97643,0.6102,1.27546,0.39033,0.01248,0.000947837,0.000947837,0.000947837
80,1171.02,1.17456,0.37157,0.01138,0.95224,0.92731,0.97492,0.63149,1.24592,0.39689,0.01226,0.000927159,0.000927159,0.000927159
81,1185.24,1.17701,0.37401,0.01169,0.96629,0.95349,0.97801,0.62129,1.29446,0.34533,0.01269,0.000906517,0.000906517,0.000906517
82,1199.72,1.17312,0.38094,0.01184,0.98797,0.95476,0.99212,0.62398,1.30217,0.34964,0.01258,0.00088592,0.00088592,0.00088592
83,1214.25,1.18808,0.3661,0.01161,0.97672,0.97559,0.98831,0.63574,1.28069,0.36472,0.01238,0.000865378,0.000865378,0.000865378
84,1228.41,1.16025,0.35801,0.01162,0.96167,0.97674,0.97771,0.61783,1.33435,0.34896,0.01292,0.000844899,0.000844899,0.000844899
85,1242.71,1.1617,0.33327,0.01114,0.98522,0.97674,0.98348,0.62887,1.26672,0.3217,0.01219,0.000824492,0.000824492,0.000824492
